Agence de rattachement,Sexe ,Age,Situation Matrimoniale,Occupation/profession,Nombres de mois de cotisation,Nombres de plans cotisés,Nombre de plans cotisés à terme,Montant de l'épargne cotisé,Nombre de transactions enregistrées,Nombre de crédits demandés,Montant de crédits demandés,Secteur d'activité économique du crédit demandé,Sous Secteur d'activité économique du crédit demandé,Nombres de crédit octroyés,Cotisation au RPC,Cautionnement signé,Revenus du Garant
A234, M ,45.0, Marié ,Commerce,2,2,1,350000,32,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,150000.0
A332, M ,32.0, Marié ,Commerce,2,2,1,126000,13,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A348, M ,51.0, Marié ,Commerce,3,4,2,410000,16,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A344, M ,33.0, Marié ,Commerce,3,3,3,93000,15,1,250000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A344, M ,44.0, Marié ,Commerce,3,3,2,258000,43,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,156000.0
A335, M ,35.0, Célibataire ,Commerce,3,3,3,174000,41,1,500000.0, COMMERCE , Informel ,0,1.0, Non ,156000.0
A325, F ,40.0, Marié ,Commerce,4,4,3,94000,4,1,280000.0, COMMERCE , Formel ,0,1.0, Oui ,50000.0
A241, M ,38.0, Marié ,Commerce,3,3,3,279000,8,1,500000.0, COMMERCE , Informel ,0,1.0, Non ,50000.0
A349, F ,33.0, Marié ,Commerce,4,4,3,186000,3,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A349, F ,40.0, Marié ,Beauté,4,4,3,186000,3,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A349, F ,33.0, Marié ,Commerce,4,4,3,186000,3,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,180000.0
A260, M ,28.0, Marié ,Commerce,4,4,3,420000,18,1,1000000.0, COMMERCE , Informel ,1,1.0, Non ,180000.0
A260, M ,30.0, Marié ,Commerce,4,4,4,238000,58,1,500000.0, COMMERCE , Informel ,1,1.0, Non ,180000.0
A247, M ,32.0, Célibataire ,Commerce,4,4,3,83500,43,1,150000.0, COMMERCE , Informel ,0,1.0, Non ,180000.0
A300, F ,33.0, Marié ,Commerce,4,5,4,141000,31,1,272000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A260, M ,30.0, Marié ,Transport,4,4,2,91000,12,1,200000.0, COMMERCE , Informel ,1,1.0, Non ,200000.0
A304, F ,52.0, Marié ,Commerce,4,4,4,124000,55,1,288000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,60000.0
A332, M ,33.0, Marié ,Commerce,4,5,1,181000,36,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,80000.0
A337, F ,41.0, Marié ,Commerce,4,4,0,325000,13,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A234, F ,29.0, Marié ,Commerce,4,4,3,55000,39,1,135000.0, COMMERCE , Formel ,0,1.0, Oui ,250000.0
